Track,Global_Corner_ID,driver_number,Entry_Speed,Apex_Speed,Exit_Speed,Speed_Delta,Braking_Pct_Before_Apex,Trail_Braking_Pct,Throttle_App_Pct_After_Apex,Coasting_Pct,Braking_Time_Pct,Average_Throttle,Min_Gear,Corner_Distance_m,Average_Speed
Monza,107,11,263,190,190,73,0.6775527397810146,0.5206099072400966,1.0,0.158867091823263,0.6666666666666666,12.833333333333334,5,1033.4219135988171,219.16666666666666
Monza,107,14,215,184,186,31,0.5033737658960776,0.5033737658960776,1.0,0.0,0.5,21.666666666666668,5,844.3717114270951,197.16666666666666
Monza,107,16,229,195,195,34,0.8581333511233866,0.8581333511233866,1.0,0.0,0.6,19.0,5,719.5768547276516,207.8
Monza,107,18,244,170,170,74,0.4369840044365343,0.0,1.0,0.40055591922076417,0.5,8.5,5,726.8798106203296,192.66666666666666
Monza,107,20,238,187,187,51,0.6043536961671592,0.6043536961671592,1.0,0.1592984033189597,0.6,2.4,5,626.023982374083,207.4
Monza,107,22,236,188,188,48,0.45713940402843833,0.45713940402843833,0.0,0.5428605959715617,0.3333333333333333,8.166666666666666,5,817.1088535368982,204.5
Monza,107,23,249,186,186,63,0.4667742428932632,0.4667742428932632,0.0,0.0,0.5,6.166666666666667,5,908.8853977220572,212.16666666666666
Monza,107,24,249,185,185,64,0.5991033317156248,0.5991033317156248,1.0,0.0,0.6,13.6,5,1036.8847892074434,208.8
Monza,107,27,307,184,187,123,0.3727883716616427,0.3727883716616427,1.0,0.0,0.5,29.166666666666668,5,1355.343557110732,226.83333333333334
Monza,107,31,235,179,181,56,0.5798639743558092,0.5798639743558092,1.0,0.16610468167165993,0.5,16.666666666666668,5,1050.106677726978,197.83333333333334
Monza,107,40,246,186,186,60,0.7129351816004829,0.7129351816004829,1.0,0.11012343294715725,0.5,8.5,5,1086.237771572035,209.5
Monza,107,44,247,193,193,54,0.8611859155546531,0.8611859155546531,1.0,0.0,0.8,8.8,5,718.40419673575,217.2
Monza,107,55,243,196,196,47,0.8412814400938727,0.8412814400938727,1.0,0.0,0.6666666666666666,22.166666666666668,5,1035.3293326135451,213.16666666666666
Monza,107,63,285,197,197,88,0.8157035500866706,0.8157035500866706,1.0,0.0,0.8,10.0,5,1035.2936450139093,229.2
Monza,107,77,285,177,177,108,0.7114126794439437,0.3949794910447192,1.0,0.11522012362531323,0.5,13.5,5,1335.1341903494372,207.66666666666666
Monza,107,81,242,198,198,44,0.6044682007695197,0.6044682007695197,1.0,0.29903927865212093,0.5,3.8333333333333335,5,700.5908304543083,214.5
Monza,108,1,223,223,235,0,0.0,0.0,0.41230079489151783,0.0,0.0,100.0,6,668.7987595237314,230.0
Monza,108,2,198,198,218,0,0.0,0.0,1.0,0.0,0.0,84.5,5,678.2250790670846,209.0
Monza,108,4,217,217,227,0,0.0,0.0,0.0,0.0,0.0,97.0,5,354.536132762759,223.0
Monza,108,10,197,197,216,0,0.0,0.0,0.8213822289569397,0.0,0.0,89.6,5,671.0086977622942,205.0
Monza,108,11,213,213,232,0,0.0,0.0,0.2175921693377217,0.0,0.0,100.0,5,954.9109027383213,222.0
Monza,108,14,214,214,229,0,0.0,0.0,0.0,0.0,0.0,99.75,5,426.2790418726981,222.5
Monza,108,16,220,220,231,0,0.0,0.0,0.6193583238570856,0.0,0.0,93.0,5,691.74662011338,225.25
Monza,108,18,201,201,214,0,0.0,0.0,0.0,0.0,0.0,86.25,5,562.1437614223406,208.0
Monza,108,20,202,202,218,0,0.0,0.0,1.0,0.0,0.0,84.66666666666667,5,634.9468875077772,210.0
